Ordinal, Name of nakṣatra,  Junction star (Yogatārā),  Latitude,  Longitude (sāyana 1956),  Beginning point of nakṣatra division,  Position of the star in the nakṣatra division (1956)
1, Asvinī, β Arietis, 08° 29', 33° 22', 23° 15', 10° 07' 
2, Bharaṇī, 41 Arietis, 10° 27', 47° 36', 36° 35', 11° 01' 
3, Kr̥ttikā, η Tauri, 04° 03', 59° 23', 49° 55', 09° 28' 
4, Rohiṇi, α Tauri, -05° 28', 69° 11', 63° 15', 05° 56'  
5, Mr̥gaśiras, ι Orionis, -16° 37', 83° 06', 76° 35', 06° 31' 
6, ārdrā, α Orionis, -16° 02', 88° 09', 89° 55', 01° 46' 
7, Punarvasū, β Geminorum, 06° 41', 112° 37', 108° 15', 09° 22' 
8, Puṣya, δ Cancri, 00° 05', 128° 07', 116° 35', 11° 32' 
9, Aśleṣā, α Cancri (not Hydrae!), -05° 05', 133° 02', 129° 55', 03° 07' 
10, Magha, α Leonis, 00° 28, 149° 13', 143° 15', 05° 58' 
11, Pūrva Phālguni, δ Leonis, 14° 20', 160° 42', 156° 35', 04° 07'  
12, Uttara Phālguni, β Leonis, 12° 16', 171° 01', 169° 55', 01° 06' 
13, Hasta, δ Corvi, -12° 12', 192° 51', 183° 15', 09° 36'  
14, Citrā, α Virginis, -02° 03', 203° 14', 196° 35', 06° 39'
15, Svāti, α Bootis, 30° 46', 203° 38', 209° 55', -06° 17' 
16, Viśakhā, α Libra, 00° 20', 224° 28', 223° 15', 01° 13' 
17, Anūrādhā, δ Scorpii, -01° 59', 241° 58', 236° 35', 05° 23' 
18, Jyeṣṭhā, α Scorpii, -04° 34', 249° 09', 249° 55', -00° 46' 
19, Mūla, λ Scorpii, -13° 47', 263° 59', 263° 15', 00° 44' 
20, Pūrvāṣāḍhā, δ Sagittarii, -06° 28', 273° 58', 276° 35', -02° 37' 
21, Uttarāsāḍhā, σ Sagittarii, -03° 27', 281° 47', 289° 55', -08° 08'
x, abhijit, α Lyrae, 61° 44', 284° 42', 284° 42'?, -00° 00'? 
22, Śravaṇa, α Aquilae, 29° 18', 301° 10', 303° 15', -02°05' 
23, Dhaniṣṭhā, β Delphini, 31° 65', 315° 44', 316° 35', -00° 51' 
24, śatabhigaj, λ Aquarii, -00° 23', 340° 58', 329° 55', 11° 03' 
25, Pūrva Bhādrapada, α Pegagi, 19° 24', 352° 53', 348° 15', 09° 38' 
26, Uttara Bhādrapada, γ Pegasi, 12° 86', 08° 39', 386° 35', 11° 58' 
27, Revatī, ζ Piscium, -00° 13', 19° 16', 09° 55', 09° 21' 
