Span, Symbol, Name, English, Greek, Varāha Mihira, Indian, Babylonian 
0°- 30°, ♈, Aries, Ram, Krios, Kriya, Meṣa, Ku or Iku (Ram)
30 - 60, ♉, Taurus, Bull, Tauros, Tāburi, Vrṣabha, Te-te (Bull)
60 - 90, ♊, Gemini, Twins, Didumoi, Jituma, Mithuna, Masmagu (Twins) 
90 -120, ♋, Cancer, Crab, Karxinos, Kulira, Karka or Karkața, Nangaru (Crab) 
120 -150, ♌, Leo, Lion, Leon, Leya, Simha, Aru (Lion)
160 -180, ♍, Virgo, Virgin, Parthebos, Pāthona, Kanyā, Ki (Virgin)
180-210, ♎, Libra, Balance, Zugos, Jūka, Tulā, Nuru (Scales)
210-240, ♏, Scorpio, Scorpion, Scorpios, Kaurpa, Vr̥ścika, Akrabu (Scorpion)
240-270, ♐, Sagittarius, Archer, Tozoutes, Taukṣika, Dhanuḥ, Pa (Archer)
270-300, ♑, Capricornus, Goat, Ligoxeros, Akokera, Makara, Sahu (Goat) 
300-330, ♒, Aquarius, Water Bearer, Gdroxoos, Hțdroga, Kumbha, Gu (Water carrier)
330 -360, ♓, Pisces, Fish, Ichthues, Antyabha, Mina, Zib (Fish) 
