Ordinal, Name of nakṣatra,  Junction star (Yogatārā),  Latitude,  Longitude (sāyana 1956),  Beginning point of nakṣatra division,  Position of the star in the nakṣatra division (1956)
1, Asvinī, β Arietis,   8° 29', 33° 22', 23° 15', 10° 7' 
2, Bharaṇī, 41 Arietis, 10° 27', 47° 36', 36° 35', 11° 1' 
3, Kr̥ttikā, 7 Tauri, -05° 3', 83° 6', 59' 23, 49° 55', 9° 28' 
4, Rohiṇi, α Tauri, -01° 3', 88° 9', 69° 11', 63° 15' 
5, Mr̥gaśiras, i Orionis, -10° 2', 83° 6', 76° 35', 6° 31' 
6, ārdrā, α Orionis, -10° 2', 88° 9', 89° 55', 1° 46' 
7, Punarvasū, β Geminorum, +8° 41', 112° 37', 108° 15', 9° 22' 
8, Puṣya, δ Cancri, +0° 5', 128° 7', 116° 35', 11° 32' 
9, Aśleṣā, α Cancri, -5° 5', 133° 2', 129° 55', 3° 7' 
10, Magha, α Leonis, 0° 28, 149° 13', 143° 15', 5° 58' 
11, Pūrva Phālguni, δ Leonis, +14° 20', 160° 42', 156° 35', 4° 7'  
12, Uttara Phālguni, β Leonis, +12° 16', 171° 1', 169° 55', 1° 6' 
13, Hasta, δ Corvi, -12° 12', 192° 51', 183° 15', 9° 36'  
14, Citrā, α Virginis, -2° 3', 203° 14', 196° 35', 6° 39'
15, Svāti, α Bootis, +30° 46', 203° 38', 209° 55', -6° 17' 
16, Visakhā, α Libra, +0° 20', 224° 28', 223° 15', 1° 13' 
17, Anurādhā, δ Scorpii, - 1° 59', 241° 58', 236° 35', 5° 23' 
18, Jyesthā, α Scorpii, - 4° 34', 249° 9', 249° 55', -0° 46' 
19, Mūla, λ Scorpii, -13° 47', 263° 59', 263° 15', 0° 44' 
20, Pūrvāṣādhā, δ Sagittarii, - 6° 28', 273° 58', 276° 35', -2° 37' 
21, Uttarāsādhā, σ Sagittarii, - 3° 27', 281° 47', 289° 55', -8° 8' 
22, Śravana, α Aquilae, +29° 18', 301° 10', 308° 15', -2° 5 
23, Dhaniṣthā, β Delphini, +31° 65', 315° 44', 316° 35', -0° 51' 
24, Satabhigaj, 1 Aquarii, -0° 23', 340° 58', 329° 55', 11° 3' 
25, Pūrva Bhadrapadā, α Pegagi, +19° 24', 352° 53', 348° 15', 9° 38' 
26, Uttara Bhādrapadā, γ Pegasi, +12° 86', 8° 39', 386° 35', 11° 58' 
27, Revatī, ζ Piscium, -0° 13', 19° 16', 9° 55', 9° 21' 
